1.7274,3.8491,6.164,8.4593,10.681,12.796,14.776,16.594,18.231,19.667,20.89,21.896,22.686,23.269,23.663,23.89,23.978,23.956,23.849,23.68,23.463,23.204,22.899,22.534,22.093,21.552,20.889,20.083,19.12,17.991,16.694,15.238,13.638,11.92,10.116,8.2674,6.4218,4.6361,2.9789,1.5419,0.50241
1.6904,3.7671,6.034,8.2837,10.464,12.543,14.492,16.288,17.908,19.335,20.556,21.566,22.365,22.962,23.373,23.619,23.727,23.725,23.637,23.487,23.287,23.044,22.753,22.402,21.973,21.443,20.79,19.995,19.041,17.92,16.631,15.183,13.591,11.88,10.084,8.2414,6.402,4.6221,2.9699,1.5373,0.50093
1.6477,3.6724,5.8836,8.0799,10.211,12.246,14.158,15.924,17.522,18.935,20.15,21.16,21.965,22.574,23.001,23.266,23.394,23.413,23.346,23.216,23.035,22.81,22.535,22.2,21.785,21.269,20.629,19.846,18.905,17.796,16.521,15.085,13.505,11.807,10.022,8.1921,6.3642,4.5951,2.9527,1.5284,0.49805
1.6005,3.5674,5.7166,7.8531,9.9287,11.914,13.783,15.513,17.083,18.477,19.681,20.688,21.498,22.116,22.557,22.84,22.989,23.029,22.985,22.875,22.715,22.509,22.253,21.935,21.536,21.036,20.412,19.645,18.719,17.627,16.367,14.948,13.385,11.704,9.936,8.1224,6.3106,4.5567,2.9282,1.5158,0.49393
1.5495,3.4541,5.5362,7.6077,9.6225,11.552,13.373,15.062,16.601,17.971,19.16,20.16,20.971,21.597,22.051,22.352,22.52,22.582,22.56,22.473,22.335,22.149,21.913,21.613,21.233,20.751,20.144,19.395,18.488,17.415,16.175,14.776,13.234,11.573,9.8269,8.0342,6.2427,4.508,2.8971,1.4997,0.48871
1.4956,3.3343,5.3453,7.3476,9.2973,11.167,12.935,14.58,16.081,17.424,18.594,19.584,20.393,21.025,21.491,21.807,21.995,22.079,22.079,22.015,21.899,21.735,21.519,21.24,20.88,20.417,19.831,19.102,18.216,17.165,15.947,14.572,13.054,11.419,9.6973,7.9293,6.1619,4.4501,2.86,1.4806,0.48249
1.4395,3.2097,5.1465,7.0763,8.9575,10.765,12.476,14.071,15.533,16.844,17.992,18.969,19.773,20.408,20.883,21.214,21.42,21.525,21.547,21.506,21.413,21.272,21.078,20.82,20.481,20.04,19.475,18.769,17.906,16.879,15.688,14.339,12.849,11.242,9.5487,7.809,6.0692,4.3836,2.8175,1.4586,0.47535
1.382,3.0816,4.9421,6.7971,8.6072,10.348,12,13.544,14.961,16.237,17.36,18.321,19.117,19.752,20.234,20.578,20.802,20.926,20.971,20.953,20.883,20.764,20.593,20.357,20.04,19.622,19.08,18.398,17.561,16.561,15.398,14.079,12.62,11.044,9.3825,7.6745,5.9655,4.3091,2.7699,1.4341,0.46735
1.3235,2.9514,4.7341,6.5127,8.2499,9.9231,11.513,13.002,14.373,15.611,16.705,17.647,18.433,19.065,19.552,19.907,20.146,20.29,20.355,20.359,20.312,20.216,20.068,19.855,19.561,19.166,18.65,17.994,17.184,16.213,15.081,13.794,12.368,10.826,9.2,7.5267,5.8515,4.2273,2.7175,1.4071,0.45856
1.2645,2.8202,4.5243,6.2256,7.8887,9.4925,11.019,12.451,13.773,14.971,16.034,16.953,17.726,18.353,18.843,19.206,19.459,19.62,19.705,19.731,19.706,19.632,19.507,19.317,19.047,18.677,18.186,17.557,16.777,15.837,14.737,13.485,12.095,10.591,9.0022,7.3664,5.7279,4.1386,2.6608,1.3778,0.44903
